input_path,original_filename,output_basename,n_kept_worms,resumed,label_feldnr,label_x,label_y,label_r4s,label_complete,label_raw_text,sample_id,label_xy_confidence,count,qr_plot,qr_spalte,qr_reihe,qr_sample_id,qr_condition,qr_text,qr_detected
malchow_project\images\IMG_0784.jpg,IMG_0784.jpg,IMG-0784__qr-NOQR__14193a7a,206,True,28.0,1.0,32.0,149.0,True,FeldNr: 28 | R4s | x=1;y = 32 | 149,149.0,high,206,28.0,1.0,32.0,149.0,R4S,FeldNr: 28 | R4s | x=1;y = 32 | 149,True
malchow_project\images\IMG_0785.jpg,IMG_0785.jpg,IMG-0785__qr-NOQR__84600a13,204,True,28.0,1.0,32.0,149.0,True,FeldNr: 28 | R4s | X=I;y = 32,149.0,high,204,28.0,1.0,32.0,149.0,R4S,FeldNr: 28 | R4s | X=I;y = 32,True
malchow_project\images\IMG_0787.jpg,IMG_0787.jpg,IMG-0787__qr-NOQR__46222e6b,312,True,29.0,1.0,33.0,221.0,True,FeldNr: 29 | R4s | x=I;y = 33,221.0,high,312,29.0,1.0,33.0,221.0,R4S,FeldNr: 29 | R4s | x=I;y = 33,True
malchow_project\images\IMG_0788.jpg,IMG_0788.jpg,IMG-0788__qr-NOQR__975b3e2f,316,True,29.0,1.0,33.0,221.0,True,FeldNr: 29 | x=I;y = 33 | R4s,221.0,high,316,29.0,1.0,33.0,221.0,R4S,FeldNr: 29 | x=I;y = 33 | R4s,True
malchow_project\images\IMG_0791.jpg,IMG_0791.jpg,IMG-0791__qr-NOQR__6d091b88,203,True,30.0,1.0,34.0,296.0,True,FelNr: 30 | R4s | X?I;y = 34,296.0,high,203,30.0,1.0,34.0,296.0,R4S,FelNr: 30 | R4s | X?I;y = 34,True
malchow_project\images\IMG_0792.jpg,IMG_0792.jpg,IMG-0792__qr-NOQR__d6ed65df,205,True,30.0,1.0,34.0,296.0,True,Feldwr: 30 | R4s | 296 | X?T;y = 34,296.0,high,205,30.0,1.0,34.0,296.0,R4S,Feldwr: 30 | R4s | 296 | X?T;y = 34,True
malchow_project\images\IMG_0794.jpg,IMG_0794.jpg,IMG-0794__qr-NOQR__f8e4591b,248,True,31.0,2.0,5.0,181.0,True,FeldNr: 31 | R4s | 181 | X=2;y = 5,181.0,high,248,31.0,2.0,5.0,181.0,R4S,FeldNr: 31 | R4s | 181 | X=2;y = 5,True
malchow_project\images\IMG_0795.jpg,IMG_0795.jpg,IMG-0795__qr-NOQR__95e726d4,246,True,31.0,2.0,5.0,181.0,True,FeldNr: 31 | R4s | 181 | X=2;y = 5,181.0,high,246,31.0,2.0,5.0,181.0,R4S,FeldNr: 31 | R4s | 181 | X=2;y = 5,True
malchow_project\images\IMG_0797.jpg,IMG_0797.jpg,IMG-0797__qr-NOQR__27ce6ce0,90,True,32.0,2.0,6.0,532.0,True,FeldNr: 32 | X=2;y = 6 | R4s,532.0,high,90,32.0,2.0,6.0,532.0,R4S,FeldNr: 32 | X=2;y = 6 | R4s,True
malchow_project\images\IMG_0799.jpg,IMG_0799.jpg,IMG-0799__qr-NOQR__71a6ec3a,210,True,32.0,2.0,6.0,532.0,True,FeldNr: 32 | X=2;y = 6 | R4s | 532,532.0,high,210,32.0,2.0,6.0,532.0,R4S,FeldNr: 32 | X=2;y = 6 | R4s | 532,True
malchow_project\images\IMG_0800.jpg,IMG_0800.jpg,IMG-0800__qr-NOQR__1f8f8d37,210,True,32.0,2.0,6.0,532.0,True,FeldNr: 32 | R4s | X=2;y = 6,532.0,high,210,32.0,2.0,6.0,532.0,R4S,FeldNr: 32 | R4s | X=2;y = 6,True
