barcode,parcel_plot,parcel_spalte,parcel_reihe,parcel_r4s,genotype,plant_weight_g,plant_weight_kg,n_plants,plant_weight_per_plant_g,larvae_in_tray_manual
Feld225_R4S_488_R12,225,19.0,8.0,488,R12,117.0,0.117,10,11.7,1.0
Feld226_R4S_392_Janpol,226,20.0,8.0,392,Janpol,278.0,0.278,16,17.375,5.0
Feld227_R4S_368_Dwarf Essex,227,21.0,8.0,368,Dwarf Essex,110.0,0.11,11,10.0,9.0
Feld228_R4S_485_K29,228,22.0,8.0,485,K29,105.0,0.105,10,10.5,8.0
Feld229_R4S_260_Boston,229,23.0,8.0,260,Boston,187.0,0.187,10,18.7,1.0
Feld230_R4S_435_S45.2.2,230,24.0,8.0,435,S45.2.2,65.0,0.065,10,6.5,45.0
Feld231_R4S_401_H231,231,25.0,8.0,401,H231,234.0,0.234,12,19.5,6.0
Feld232_R4S_179_Ascona,232,26.0,8.0,179,Ascona,209.0,0.209,10,20.9,2.0
Feld233_R4S_200_Darmor,233,27.0,8.0,200,Darmor,99.0,0.099,10,9.9,19.0
Feld234_R4S_148_Rodeo,234,28.0,8.0,148,Rodeo,159.0,0.159,10,15.9,2.0
Feld235_R4S_397_Brink,235,29.0,8.0,397,Brink,319.0,0.319,15,21.266666666666666,3.0
Feld236_R4S_492_FELICIANO KWS,236,30.0,8.0,492,FELICIANO KWS,218.0,0.218,10,21.8,2.0
Feld237_R4S_496_DSV3,237,31.0,8.0,496,DSV3,204.0,0.204,10,20.4,3.0
Feld238_R4S_388_Liporta,238,32.0,8.0,388,Liporta,145.0,0.145,10,14.5,2.0
Feld239_R4S_422_G89,239,33.0,8.0,422,G89,73.0,0.073,10,7.3,16.0
Feld240_R4S_552_ALLESANDRO KWS,240,34.0,8.0,552,ALLESANDRO KWS,341.0,0.341,25,13.64,4.0
Feld241_R4S_493_KWS ARIANOS,241,5.0,9.0,493,KWS ARIANOS,280.0,0.28,10,28.0,5.0
Feld242_R4S_376_Victor,242,6.0,9.0,376,Victor,311.0,0.311,13,23.923076923076923,
Feld243_R4S_512_R31,243,7.0,9.0,512,R31,223.0,0.223,13,17.153846153846153,5.0
Feld244_R4S_461_H365,244,8.0,9.0,461,H365,209.0,0.209,10,20.9,3.0
Feld245_R4S_316_BRONZE TOP,245,9.0,9.0,316,BRONZE TOP,139.0,0.139,9,15.444444444444445,1.0
Feld246_R4S_375_Vinnickij 15/59,246,10.0,9.0,375,Vinnickij 15/59,264.0,0.264,14,18.857142857142858,1.0
Feld247_R4S_364_Silona,247,11.0,9.0,364,Silona,306.0,0.306,10,30.6,
Feld248_R4S_284_Nemertschanskij 1,248,12.0,9.0,284,Nemertschanskij 1,285.0,0.285,10,28.5,2.0
Feld249_R4S_452_G56,249,13.0,9.0,452,G56,77.0,0.077,10,7.7,46.0
Feld250_R4S_144_Adder,250,14.0,9.0,144,Adder,221.0,0.221,14,15.785714285714286,3.0
Feld251_R4S_194_LEMBKES MALCHOWER (LENORA),251,15.0,9.0,194,LEMBKES MALCHOWER (LENORA),164.0,0.164,10,16.4,
Feld252_R4S_548_ALLESANDRO KWS,252,16.0,9.0,548,ALLESANDRO KWS,231.0,0.231,11,21.0,5.0
Feld253_R4S_244_NK Bravour,253,17.0,9.0,244,NK Bravour,217.0,0.217,10,21.7,2.0
Feld254_R4S_460_K53,254,18.0,9.0,460,K53,146.0,0.146,11,13.272727272727273,4.0
Feld255_R4S_182_Pollen,255,19.0,9.0,182,Pollen,151.0,0.151,12,12.583333333333334,
Feld256_R4S_229_Jessica,256,20.0,9.0,229,Jessica,152.0,0.152,10,15.2,1.0
