qr_code,plot,reihe,spalte,genotype,is_smagrad_separator,larvae_manual,larvae_raw,obs
R4S_291,3.0,1.0,3.0,Smaragd,True,0,0,
R4S_204,68.0,2.0,32.0,Bolko,False,6,6i,
R4S_505,86.0,3.0,14.0,Smaragd,True,6,6i,
R4S_343,74.0,3.0,2.0,Smaragd,True,0,0,
R4S_189,44.0,2.0,8.0,PI271452,False,37,37i,
R4S_534,175.0,5.0,31.0,DSV2,False,14,14i,
R4S_500,202.0,6.0,22.0,BRAUNER SCHNITTKOHL,False,0,0,
R4S_243,84.0,3.0,12.0,Leopard,False,25,25i,
R4S_355,133.0,4.0,25.0,SENSATION NZ,False,21,21i,
R4S_376,242.0,7.0,26.0,LG Atlas,False,49,49i,
R4S_531,19.0,1.0,19.0,Librador,False,4,4i,
R4S_247,171.0,5.0,27.0,Sollux,False,5,^5i,
R4S_234,163.0,5.0,19.0,R31,False,3,3i,
R4S_219,179.0,5.0,35.0,Smaragd,True,0,0,
R4S_214,143.0,4.0,35.0,Smaragd,True,0,0,
R4S_280,46.0,2.0,10.0,SIBERISCHE BOERENKOOL,False,46,46i,
R4S_275,50.0,2.0,14.0,NORIN,False,31,31i,
R4S_260,229.0,7.0,13.0,Sarepta,False,0,0,
R4S_187,18.0,1.0,18.0,DH5 Oase x Nugget  PBY061 von NPZ,False,31,31i,
R4S_299,161.0,5.0,17.0,RAPID CYCLING RAPE (CrGC5),False,0,0,
R4S_149,28.0,1.0,28.0,Mestnij,False,7,7i,
R4S_383,293.0,9.0,5.0,KWS ARIANOS,False,6,6i,
R4S_454,172.0,5.0,28.0,EUROL,False,24,24i,
R4S_436,188.0,6.0,8.0,Smaragd,True,5,5i,
R4S_329,69.0,2.0,33.0,LG Avenger,False,2,2i,
R4S_290,164.0,5.0,20.0,PIKE,False,0,0,
R4S_352,206.0,6.0,26.0,S3,False,1,1i,
R4S_274,180.0,5.0,36.0,Smaragd,True,5,5i,
R4S_199,53.0,2.0,17.0,COUVE NABICA,False,49,49i,
R4S_448,203.0,6.0,23.0,R75,False,0,0,
R4S_408,14.0,1.0,14.0,INL 2,False,0,0,
R4S_541,154.0,5.0,10.0,Verona,False,0,0,
R4S_288,16.0,1.0,16.0,S2,False,3,3i,
R4S_506,97.0,3.0,25.0,25629-3,False,5,5i,
R4S_499,91.0,3.0,19.0,Liglory,False,4,4i,
R4S_503,181.0,6.0,1.0,Smaragd,True,7,7i,
R4S_279,75.0,3.0,3.0,Smaragd,True,2,2i,
R4S_438,93.0,3.0,21.0,S5,False,36,36i,
R4S_417,76.0,3.0,4.0,Smaragd,True,0,0,
R4S_539,70.0,2.0,34.0,R8,False,0,0,
R4S_530,127.0,4.0,19.0,ABUKUMA NATANE,False,0,0,
R4S_169,71.0,2.0,35.0,Smaragd,True,4,4i,
R4S_521,6.0,1.0,6.0,Askari,False,2,2i,
R4S_391,79.0,3.0,7.0,Vivol,False,18,18i,
R4S_190,85.0,3.0,13.0,Rotabaggeue,False,2,2i,
R4S_396,173.0,5.0,29.0,H31,False,25,25i,
R4S_193,289.0,9.0,1.0,Smaragd,True,42,42i,
R4S_453,148.0,5.0,4.0,Smaragd,True,2,2i,
R4S_458,95.0,3.0,23.0,Jantar,False,0,0,
R4S_348,184.0,6.0,4.0,Smaragd,True,3,3i,
R4S_152,192.0,6.0,12.0,L239,False,7,7i,
R4S_166,73.0,3.0,1.0,Smaragd,True,31,31i,
R4S_266,21.0,1.0,21.0,SWGospel,False,12,12i,
R4S_205,205.0,6.0,25.0,Madrigal,False,14,14i,
R4S_271,123.0,4.0,15.0,Escort,False,1,1i,
R4S_532,32.0,1.0,32.0,Rapid,False,2,2i,
R4S_395,52.0,2.0,16.0,Slovenska Krajova,False,5,5i,
R4S_150,122.0,4.0,14.0,Edita,False,3,3i,
R4S_382,110.0,4.0,2.0,Smaragd,True,5,5i,
R4S_487,132.0,4.0,24.0,Norde,False,0,0,
R4S_244,253.0,8.0,1.0,Smaragd,True,2,2i,
R4S_232,294.0,9.0,6.0,Victor,False,26,26i,
R4S_296,30.0,1.0,30.0,Barrel,False,2,2i,
R4S_523,210.0,6.0,30.0,Essex Model,False,8,8i,
R4S_168,126.0,4.0,18.0,Dalo Trifolium,False,27,27i,
R4S_159,199.0,6.0,19.0,Magnum,False,3,3i,
R4S_239,211.0,6.0,31.0,MOANA MOANA RAPE,False,4,4i,
R4S_302,157.0,5.0,13.0,Phil,False,0,0,
R4S_325,121.0,4.0,13.0,SHANG-YOU,False,0,0,
R4S_494,64.0,2.0,28.0,Taisetsu,False,5,5i,
R4S_188,266.0,8.0,14.0,Resyn-Goe S4,False,9,9i,
R4S_242,17.0,1.0,17.0,SLM 0512,False,106,106i,
R4S_246,80.0,3.0,8.0,DSV1,False,0,0,
R4S_424,263.0,8.0,11.0,Palu,False,7,7i,
R4S_289,83.0,3.0,11.0,Flip,False,45,45,
R4S_489,94.0,3.0,22.0,Taisetsu,False,14,14i,
R4S_427,8.0,1.0,8.0,Lirafit,False,4,4i,
R4S_372,200.0,6.0,20.0,Smaragd,True,22,22i,
R4S_265,16.0,1.0,16.0,S2,False,42,42i,
R4S_158,187.0,6.0,7.0,Lion,False,5,5i,
R4S_461,244.0,7.0,28.0,ALLESANDRO KWS,False,12,12i,
R4S_522,,,,,,0,0,
R4S_457,145.0,5.0,1.0,Smaragd,True,10,10i,
R4S_493,241.0,7.0,25.0,Scotia,False,4,4i,
R4S_451,77.0,3.0,5.0,J 104,False,2,2i,
